E (keV)	chYiel
0.000000	-nan
118.000000	53.549306
118.250000	53.559063
118.500000	53.568683
118.750000	53.578167
119.000000	53.587516
119.250000	53.596730
119.500000	53.605812
119.750000	53.614762
120.000000	53.623582
120.250000	53.632272
120.500000	53.640833
120.750000	53.649267
121.000000	53.657574
121.250000	53.665756
121.500000	53.673814
121.750000	53.681748
122.000000	53.689560
122.250000	53.697251
122.500000	53.704822
122.750000	53.712273
123.000000	53.719606
123.250000	53.726822
123.500000	53.733922
123.750000	53.740906
124.000000	53.747776
124.250000	53.754533
124.500000	53.761177
124.750000	53.767710
125.000000	53.774132
125.250000	53.780445
125.500000	53.786649
125.750000	53.792745
126.000000	53.798735
126.250000	53.804618
126.500000	53.810397
126.750000	53.816072
127.000000	53.821643
127.250000	53.827113
127.500000	53.832481
127.750000	53.837748
128.000000	53.842916
128.250000	53.847985
128.500000	53.852956
128.750000	53.857829
129.000000	53.862607
129.250000	53.867289
129.500000	53.871877
129.750000	53.876371
130.000000	53.880772
130.250000	53.885081
130.500000	53.889299
130.750000	53.893426
131.000000	53.897463
131.250000	53.901412
131.500000	53.905272
131.750000	53.909045
132.000000	53.912732
132.250000	53.916333
132.500000	53.919848
132.750000	53.923280
133.000000	53.926628
133.250000	53.929893
133.500000	53.933076
133.750000	53.936178
134.000000	53.939199
134.250000	53.942140
134.500000	53.945003
134.750000	53.947786
135.000000	53.950493
135.250000	53.953122
135.500000	53.955675
135.750000	53.958152
136.000000	53.960554
136.250000	53.962882
136.500000	53.965137
136.750000	53.967318
137.000000	53.969428
137.250000	53.971465
137.500000	53.973432
137.750000	53.975329
138.000000	53.977156
138.250000	53.978914
138.500000	53.980604
138.750000	53.982226
139.000000	53.983781
139.250000	53.985269
139.500000	53.986692
139.750000	53.988049
140.000000	53.989342
140.250000	53.990571
140.500000	53.991736
140.750000	53.992839
141.000000	53.993879
141.250000	53.994858
141.500000	53.995775
141.750000	53.996633
142.000000	53.997430
142.250000	53.998168
142.500000	53.998847
142.750000	53.999468
143.000000	54.000031
143.250000	54.000537
143.500000	54.000986
143.750000	54.001380
144.000000	54.001718
144.250000	54.002001
144.500000	54.002229
144.750000	54.002404
145.000000	54.002525
145.250000	54.002593
145.500000	54.002609
145.750000	54.002573
146.000000	54.002486
146.250000	54.002347
146.500000	54.002159
146.750000	54.001920
147.000000	54.001633
147.250000	54.001296
147.500000	54.000911
147.750000	54.000477
148.000000	53.999997
148.250000	53.999469
148.500000	53.998895
148.750000	53.998275
149.000000	53.997609
149.250000	53.996898
149.500000	53.996142
149.750000	53.995342
150.000000	53.994498
150.250000	53.993610
150.500000	53.992680
150.750000	53.991707
151.000000	53.990692
151.250000	53.989636
151.500000	53.988538
151.750000	53.987399
152.000000	53.986220
152.250000	53.985001
152.500000	53.983742
152.750000	53.982444
153.000000	53.981107
153.250000	53.979732
153.500000	53.978319
153.750000	53.976868
154.000000	53.975380
154.250000	53.973855
154.500000	53.972293
154.750000	53.970696
155.000000	53.969063
155.250000	53.967394
155.500000	53.965690
155.750000	53.963952
156.000000	53.962180
156.250000	53.960374
156.500000	53.958534
156.750000	53.956661
157.000000	53.954755
157.250000	53.952817
157.500000	53.950847
157.750000	53.948844
158.000000	53.946811
158.250000	53.944746
158.500000	53.942651
158.750000	53.940525
159.000000	53.938369
159.250000	53.936183
159.500000	53.933968
159.750000	53.931723
160.000000	53.929450
160.250000	53.927148
160.500000	53.924818
160.750000	53.922460
161.000000	53.920075
161.250000	53.917662
161.500000	53.915223
161.750000	53.912756
162.000000	53.910264
162.250000	53.907745
162.500000	53.905200
162.750000	53.902630
163.000000	53.900035
163.250000	53.897414
163.500000	53.894769
163.750000	53.892100
164.000000	53.889407
164.250000	53.886690
164.500000	53.883949
164.750000	53.881185
165.000000	53.878398
165.250000	53.875588
165.500000	53.872756
165.750000	53.869901
166.000000	53.867025
166.250000	53.864127
166.500000	53.861207
166.750000	53.858267
167.000000	53.855305
167.250000	53.852322
167.500000	53.849320
167.750000	53.846297
168.000000	53.843254
168.250000	53.840191
168.500000	53.837109
168.750000	53.834007
169.000000	53.830887
169.250000	53.827747
169.500000	53.824589
169.750000	53.821413
170.000000	53.818219
170.250000	53.815007
170.500000	53.811777
170.750000	53.808530
171.000000	53.805265
171.250000	53.801984
171.500000	53.798686
171.750000	53.795371
172.000000	53.792040
172.250000	53.788692
172.500000	53.785329
172.750000	53.781950
173.000000	53.778555
173.250000	53.775145
173.500000	53.771720
173.750000	53.768280
174.000000	53.764825
174.250000	53.761356
174.500000	53.757872
174.750000	53.754374
175.000000	53.750862
175.250000	53.747337
175.500000	53.743797
175.750000	53.740245
176.000000	53.736679
176.250000	53.733100
176.500000	53.729508
176.750000	53.725903
177.000000	53.722286
177.250000	53.718657
177.500000	53.715015
177.750000	53.711361
178.000000	53.707696
178.250000	53.704019
178.500000	53.700330
178.750000	53.696630
179.000000	53.692919
179.250000	53.689196
179.500000	53.685463
179.750000	53.681720
180.000000	53.677965
180.250000	53.674201
180.500000	53.670426
180.750000	53.666641
181.000000	53.662846
181.250000	53.659042
181.500000	53.655227
181.750000	53.651404
182.000000	53.647571
182.250000	53.643729
182.500000	53.639877
182.750000	53.636017
183.000000	53.632149
183.250000	53.628271
183.500000	53.624385
183.750000	53.620491
184.000000	53.616589
184.250000	53.612678
184.500000	53.608760
184.750000	53.604834
185.000000	53.600900
185.250000	53.596959
185.500000	53.593011
185.750000	53.589055
186.000000	53.585092
186.250000	53.581122
186.500000	53.577145
186.750000	53.573161
187.000000	53.569171
187.250000	53.565174
187.500000	53.561171
187.750000	53.557162
188.000000	53.553146
188.250000	53.549125
188.500000	53.545097
188.750000	53.541064
189.000000	53.537025
189.250000	53.532980
189.500000	53.528930
189.750000	53.524875
190.000000	53.520814
190.250000	53.516748
190.500000	53.512678
190.750000	53.508602
191.000000	53.504521
191.250000	53.500436
191.500000	53.496346
191.750000	53.492252
192.000000	53.488153
192.250000	53.484050
192.500000	53.479943
192.750000	53.475832
193.000000	53.471717
193.250000	53.467597
193.500000	53.463474
193.750000	53.459348
194.000000	53.455217
194.250000	53.451084
194.500000	53.446946
194.750000	53.442806
195.000000	53.438662
195.250000	53.434515
195.500000	53.430365
195.750000	53.426212
196.000000	53.422056
196.250000	53.417897
196.500000	53.413736
196.750000	53.409572
197.000000	53.405405
197.250000	53.401236
197.500000	53.397064
197.750000	53.392891
198.000000	53.388715
198.250000	53.384537
198.500000	53.380356
198.750000	53.376174
199.000000	53.371990
199.250000	53.367804
199.500000	53.363617
199.750000	53.359427
200.000000	53.355237
200.250000	53.351044
200.500000	53.346850
200.750000	53.342655
201.000000	53.338459
201.250000	53.334261
201.500000	53.330062
201.750000	53.325862
202.000000	53.321661
202.250000	53.317459
202.500000	53.313256
202.750000	53.309052
203.000000	53.304848
203.250000	53.300643
203.500000	53.296437
203.750000	53.292231
204.000000	53.288024
204.250000	53.283817
204.500000	53.279609
204.750000	53.275402
205.000000	53.271194
205.250000	53.266985
205.500000	53.262777
205.750000	53.258569
206.000000	53.254360
206.250000	53.250152
206.500000	53.245944
206.750000	53.241736
207.000000	53.237528
207.250000	53.233320
207.500000	53.229113
207.750000	53.224906
208.000000	53.220700
208.250000	53.216494
208.500000	53.212289
208.750000	53.208084
209.000000	53.203881
209.250000	53.199677
209.500000	53.195475
209.750000	53.191273
210.000000	53.187073
210.250000	53.182873
210.500000	53.178674
210.750000	53.174476
211.000000	53.170279
211.250000	53.166084
211.500000	53.161889
211.750000	53.157696
212.000000	53.153504
212.250000	53.149313
212.500000	53.145124
212.750000	53.140936
213.000000	53.136750
213.250000	53.132565
213.500000	53.128381
213.750000	53.124199
214.000000	53.120019
214.250000	53.115840
214.500000	53.111663
214.750000	53.107488
215.000000	53.103315
215.250000	53.099143
215.500000	53.094974
215.750000	53.090806
216.000000	53.086640
216.250000	53.082476
216.500000	53.078314
216.750000	53.074154
217.000000	53.069996
217.250000	53.065841
217.500000	53.061687
217.750000	53.057536
218.000000	53.053387
218.250000	53.049240
218.500000	53.045096
218.750000	53.040954
219.000000	53.036814
219.250000	53.032677
219.500000	53.028542
219.750000	53.024409
220.000000	53.020280
220.250000	53.016152
220.500000	53.012027
220.750000	53.007905
221.000000	53.003786
221.250000	52.999669
221.500000	52.995555
221.750000	52.991443
222.000000	52.987335
222.250000	52.983229
222.500000	52.979126
222.750000	52.975025
223.000000	52.970928
223.250000	52.966833
223.500000	52.962742
223.750000	52.958653
224.000000	52.954568
224.250000	52.950485
224.500000	52.946406
224.750000	52.942329
225.000000	52.938256
225.250000	52.934186
225.500000	52.930118
225.750000	52.926054
226.000000	52.921994
226.250000	52.917936
226.500000	52.913882
226.750000	52.909831
227.000000	52.905783
227.250000	52.901739
227.500000	52.897697
227.750000	52.893660
228.000000	52.889625
228.250000	52.885594
228.500000	52.881567
228.750000	52.877543
229.000000	52.873522
229.250000	52.869505
229.500000	52.865491
229.750000	52.861481
230.000000	52.857474
230.250000	52.853471
230.500000	52.849472
230.750000	52.845476
231.000000	52.841484
231.250000	52.837495
231.500000	52.833511
231.750000	52.829529
232.000000	52.825552
232.250000	52.821578
232.500000	52.817608
232.750000	52.813642
233.000000	52.809679
233.250000	52.805721
233.500000	52.801766
233.750000	52.797815
234.000000	52.793867
234.250000	52.789924
234.500000	52.785984
234.750000	52.782049
235.000000	52.778117
235.250000	52.774189
235.500000	52.770265
235.750000	52.766346
236.000000	52.762430
236.250000	52.758518
236.500000	52.754610
236.750000	52.750706
237.000000	52.746806
237.250000	52.742910
237.500000	52.739018
237.750000	52.735130
238.000000	52.731246
238.250000	52.727367
238.500000	52.723491
238.750000	52.719620
239.000000	52.715752
239.250000	52.711889
